order_id,order_date,customer_id,shipping_method_id,dest_address_id
1,2023-03-23 00:15:50.667,1953,4,244
2,2021-04-26 10:34:49.667,1329,4,944
3,2023-12-17 14:22:09.667,565,4,296
4,2023-01-22 07:59:45.667,318,4,217
5,2021-11-16 23:27:11.667,1792,4,288
6,2023-08-15 23:27:05.667,1989,4,135
7,2022-10-01 10:50:52.667,38,4,657
8,2023-05-05 11:19:00.667,366,4,538
9,2021-09-11 21:50:55.667,1349,4,176
10,2021-12-24 14:49:03.667,547,4,961
11,2023-07-31 18:25:41.667,292,4,959
12,2024-01-31 01:39:04.667,718,4,636
13,2023-05-10 05:03:03.667,1534,4,653
14,2024-02-29 16:12:41.667,1834,4,471
15,2021-07-29 09:22:34.667,1890,4,810
16,2023-07-01 01:26:41.667,1574,4,957
17,2024-01-26 23:05:34.667,1422,4,332
18,2022-01-12 14:30:10.667,1659,4,419
19,2023-07-25 21:02:45.667,406,4,654
20,2022-04-22 15:32:41.667,839,4,519
21,2022-09-20 15:54:33.667,1503,4,762
22,2021-11-08 00:36:29.667,1500,4,624
23,2021-07-02 00:57:49.667,1369,4,21
24,2022-01-04 01:44:23.667,721,4,50
25,2021-04-23 19:52:45.667,1561,4,478
26,2023-10-18 17:48:24.667,81,4,156
27,2023-04-07 05:37:49.667,487,4,903
28,2021-06-08 07:46:18.667,718,4,81
29,2022-09-02 09:55:32.667,1502,4,776
30,2021-11-10 20:38:36.667,1882,4,796
31,2021-12-14 16:49:51.667,450,4,711
32,2023-07-30 13:03:50.667,607,4,370
33,2021-10-28 16:39:23.667,707,4,52
34,2022-03-26 00:39:11.667,595,4,414
35,2022-09-27 11:53:51.667,724,4,981
36,2022-02-21 22:52:05.667,1964,4,254
37,2022-12-04 15:16:27.667,1432,4,808
38,2023-01-27 00:29:25.667,200,4,747
39,2022-07-17 19:15:52.667,1372,4,807
40,2022-08-15 20:19:51.667,667,4,816
41,2021-07-28 08:21:52.667,948,4,671
42,2021-07-16 04:37:58.667,472,4,136
43,2023-06-18 00:37:34.667,1315,4,18
44,2021-04-17 01:34:14.667,955,4,725
45,2023-09-04 04:08:48.667,461,4,352
46,2023-03-20 03:39:22.667,24,4,563
47,2024-02-20 07:00:33.667,1728,4,20
48,2022-07-05 02:50:12.667,100,4,530
49,2022-09-18 07:54:54.667,922,4,292
50,2021-06-29 05:27:41.667,1030,4,317
51,2022-10-02 16:45:40.667,600,4,967
52,2021-05-29 21:05:32.667,1826,4,949
53,2021-10-16 06:28:43.667,893,4,508
54,2022-01-16 00:12:13.667,1612,4,141
55,2023-05-21 06:07:30.667,1603,4,846
56,2023-03-14 19:53:30.667,1572,4,3
57,2022-04-06 02:05:27.667,486,4,814
58,2021-10-01 16:27:34.667,1576,4,989
59,2022-04-11 06:36:58.667,977,4,269
60,2021-10-19 03:48:21.667,235,4,507
61,2021-06-30 16:38:19.667,153,4,5
62,2023-12-02 09:19:19.667,160,4,455
63,2024-01-07 22:45:15.667,378,4,761
64,2022-11-03 16:42:06.667,1643,4,729
65,2022-05-17 21:06:17.667,1469,4,369
66,2022-03-25 02:55:03.667,277,4,161
67,2022-06-20 01:08:49.667,234,4,242
68,2023-06-02 15:04:53.667,498,4,1000
69,2023-09-19 02:43:26.667,469,4,950
70,2022-11-14 22:06:30.667,1718,4,953
71,2021-05-14 09:09:10.667,452,4,22
72,2022-03-23 21:38:37.667,46,4,697
73,2022-12-25 18:46:05.667,8,4,107
74,2023-01-23 19:18:37.667,1830,4,208
75,2021-09-30 20:19:05.667,1406,4,719
76,2023-11-25 04:33:28.667,1724,4,742
77,2021-08-05 18:15:53.667,660,4,665
78,2022-11-11 04:44:34.667,1274,4,476
79,2023-08-01 21:01:11.667,1069,4,857
80,2023-10-13 21:04:17.667,873,4,414
81,2022-10-02 22:30:19.667,1990,4,929
82,2024-01-05 16:23:46.667,291,4,631
83,2022-07-26 20:27:43.667,775,4,736
84,2022-03-21 05:02:25.667,1928,4,11
85,2022-06-25 13:41:59.667,17,4,124
86,2022-10-05 05:32:22.667,766,4,211
87,2023-07-16 17:11:24.667,658,4,353
88,2023-05-11 06:35:34.667,120,4,841
89,2023-03-07 05:21:55.667,617,4,526
90,2021-09-22 19:36:24.667,161,4,666
91,2023-08-06 01:42:47.667,428,4,165
92,2023-11-30 14:19:06.667,72,4,486
93,2021-12-29 10:06:00.667,1408,4,892
94,2023-07-30 14:31:09.667,1347,4,645
95,2022-05-28 22:10:36.667,108,4,791
96,2022-05-02 11:35:28.667,145,4,497
97,2021-05-02 04:08:19.667,1652,4,872
98,2022-09-17 12:29:59.667,1630,4,844
99,2021-10-25 05:32:46.667,1183,4,189
100,2023-08-11 19:52:59.667,1852,4,986
101,2021-04-22 15:30:43.667,534,4,211
102,2024-03-01 04:46:12.667,1632,4,54
103,2023-01-21 23:58:22.667,813,4,691
104,2023-04-03 21:03:51.667,384,4,757
105,2023-06-06 02:14:57.667,1450,4,577
106,2022-01-29 00:23:19.667,1525,4,789
107,2022-12-28 23:48:43.667,1114,4,540
108,2022-10-13 20:26:51.667,1861,4,350
109,2023-03-29 22:24:41.667,1489,4,5
110,2021-04-24 01:48:03.667,1721,4,61
111,2021-04-27 02:14:49.667,634,4,337
112,2023-10-29 23:53:08.667,1234,4,837
113,2021-10-02 07:03:29.667,549,4,419
114,2023-01-17 05:09:08.667,636,4,910
115,2022-01-07 01:06:05.667,1169,4,254
116,2023-11-22 00:30:30.667,1389,4,464
117,2022-02-02 02:43:16.667,725,4,708
118,2023-11-26 18:56:27.667,1314,4,862
119,2022-12-30 04:39:47.667,1284,4,476
120,2022-10-20 23:51:26.667,1438,4,376
121,2023-04-26 21:48:26.667,889,4,728
122,2022-12-08 12:11:42.667,1437,4,206
123,2023-09-26 07:29:44.667,614,4,440
124,2023-05-07 02:04:13.667,155,4,446
125,2022-11-04 13:34:45.667,1415,4,63
