book_id,author_id
1,2778
2,5049
3,4902
4,8651
5,8904
6,2497
6,5340
6,6224
6,6787
6,7738
6,8667
7,9057
8,9057
9,8538
10,6043
11,5022
12,7328
13,5722
14,3885
14,5944
14,8800
15,4705
15,4729
16,1101
17,1101
18,8204
19,5091
19,5422
20,8631
21,7092
22,6110
23,1676
23,6297
24,7558
25,6813
25,7220
26,4073
26,4723
26,9206
27,6582
28,79
29,79
32,8080
33,1020
34,1566
35,79
35,7581
36,7350
37,8692
38,3872
39,1452
40,79
41,6980
42,8382
43,8382
44,8382
45,8382
46,7609
47,6680
48,79
49,6980
50,6129
51,6980
52,62
52,221
52,431
52,1102
52,2458
52,2639
52,3509
52,4005
52,4008
52,4074
52,5102
52,5295
52,5386
52,5432
52,5621
52,5960
52,5962
52,7919
52,8125
52,8165
53,8105
55,5698
55,6808
56,7812
57,4132
58,7658
58,8210
59,2352
60,3872
61,8130
62,3583
63,1562
63,4100
64,79
65,4620
66,2149
67,79
68,79
69,79
70,1864
71,5379
72,609
72,2191
72,3161
73,103
73,7391
74,2141
74,3583
75,1398
75,3583
76,3583
77,6002
77,6566
80,3583
81,6046
82,3238
83,4507
84,1020
85,6002
86,2170
87,2170
89,8080
90,2170
91,2170
91,7742
91,8547
92,296
93,939
93,7391
94,676
94,2170
94,8547
95,2170
96,2170
98,2530
99,623
100,7620
101,2149
102,1156
103,79
104,4944
105,5193
105,8105
106,9108
108,2708
109,2610
110,2595
111,475
112,1097
113,8373
114,1020
114,6777
115,2555
116,2901
116,7552
117,3349
117,4190
117,5799
118,612
118,1552
120,6949
121,7661
121,8880
123,6032
123,9160
124,143
125,245
125,7251
126,5039
126,8224
127,148
128,7270
129,3634
129,7289
130,872
130,2021
130,3199
130,4417
130,4886
130,5951
130,6450
130,7096
130,7442
130,9130
131,8490
132,617
132,919
133,8857
134,8857
135,2114
135,3217
136,1022
137,8173
138,8173
139,3672
139,5385
140,696
141,8581
142,6414
143,6913
144,8528
145,8528
146,649
147,2675
148,5200
148,5838
149,6927
150,747
151,5960
152,149
153,9120
154,9120
155,5621
156,6683
157,3776
158,5621
